product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_content
B000000054,Sample Product 54,Home|Kitchen|Appliances,₹4062,₹2025,58%,3.8,"40,470",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000055,Sample Product 55,Clothing|Men|Shirts,₹4463,₹2146,50%,3.9,"20,948",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000056,Sample Product 56,Clothing|Men|Shirts,₹2084,₹513,51%,2.7,"29,979",Great quality product with nice features.,Do not buy this waste of money.
B000000057,Sample Product 57,Electronics|TV|Smart,₹1177,₹5099,19%,4.1,"22,057",Great quality product with nice features.,"Terrible, broke after one day."
B000000058,Sample Product 58,Home|Kitchen|Appliances,₹335,₹2778,23%,2.3,"29,008",Great quality product with nice features.,"It is okay, nothing special."
B000000059,Sample Product 59,Electronics|TV|Smart,₹488,₹3655,30%,2.6,"43,170",Great quality product with nice features.,"It is okay, nothing special."
B000000060,Sample Product 60,Home|Kitchen|Appliances,₹3137,₹8821,56%,4.6,"48,288",Great quality product with nice features.,"It is okay, nothing special."
B000000061,Sample Product 61,Home|Kitchen|Appliances,₹4958,₹4314,26%,4.2,"44,633",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000062,Sample Product 62,Electronics|TV|Smart,₹1948,₹3716,25%,2.0,"48,450",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000063,Sample Product 63,Electronics|TV|Smart,₹4819,₹8719,55%,2.7,"5,544",Great quality product with nice features.,"Terrible, broke after one day."
B000000064,Sample Product 64,Home|Kitchen|Appliances,₹2914,₹2613,42%,2.6,"21,068",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000065,Sample Product 65,Computers|Laptops|Gaming,₹3474,₹9944,24%,2.8,"45,257",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000066,Sample Product 66,Clothing|Men|Shirts,₹3378,₹4856,33%,2.7,"25,098",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000067,Sample Product 67,Electronics|TV|Smart,₹1352,₹6043,55%,2.2,"42,848",Great quality product with nice features.,"Terrible, broke after one day."
B000000068,Sample Product 68,Clothing|Men|Shirts,₹4081,₹5055,8%,3.4,"43,513",Great quality product with nice features.,"Terrible, broke after one day."
B000000069,Sample Product 69,Computers|Laptops|Gaming,₹4773,₹7562,59%,4.2,"3,810",Great quality product with nice features.,"Terrible, broke after one day."
B000000070,Sample Product 70,Computers|Laptops|Gaming,₹2222,₹3874,75%,3.8,"22,192",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000071,Sample Product 71,Computers|Laptops|Gaming,₹4630,₹6930,32%,4.0,"21,268",Great quality product with nice features.,Do not buy this waste of money.
B000000072,Sample Product 72,Electronics|TV|Smart,₹2250,₹3966,8%,2.2,"7,207",Great quality product with nice features.,"Terrible, broke after one day."
B000000073,Sample Product 73,Computers|Laptops|Gaming,₹4959,₹3581,26%,4.9,"21,058",Great quality product with nice features.,Do not buy this waste of money.
B000000074,Sample Product 74,Electronics|TV|Smart,₹1429,₹1129,49%,4.5,"28,993",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000075,Sample Product 75,Computers|Laptops|Gaming,₹1458,₹769,71%,4.4,"46,515",Great quality product with nice features.,Do not buy this waste of money.
B000000076,Sample Product 76,Clothing|Men|Shirts,₹2582,₹6224,70%,4.5,"15,996",Great quality product with nice features.,"It is okay, nothing special."
B000000077,Sample Product 77,Clothing|Men|Shirts,₹4642,₹6397,38%,4.8,"48,804",Great quality product with nice features.,Do not buy this waste of money.
B000000078,Sample Product 78,Home|Kitchen|Appliances,₹2117,₹3932,59%,3.6,"44,440",Great quality product with nice features.,"Terrible, broke after one day."
B000000079,Sample Product 79,Clothing|Men|Shirts,₹1431,₹9972,5%,2.6,"13,211",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000080,Sample Product 80,Home|Kitchen|Appliances,₹4444,₹6776,76%,3.9,"17,794",Great quality product with nice features.,"Terrible, broke after one day."
B000000081,Sample Product 81,Clothing|Men|Shirts,₹4361,₹6395,42%,4.2,"26,271",Great quality product with nice features.,"It is okay, nothing special."
B000000082,Sample Product 82,Electronics|TV|Smart,₹1458,₹7615,10%,4.2,"5,198",Great quality product with nice features.,"Terrible, broke after one day."
B000000083,Sample Product 83,Clothing|Men|Shirts,₹4737,₹7156,29%,3.6,"48,322",Great quality product with nice features.,"Terrible, broke after one day."
B000000084,Sample Product 84,Home|Kitchen|Appliances,₹4954,₹1075,21%,2.2,"7,453",Great quality product with nice features.,"Terrible, broke after one day."
B000000085,Sample Product 85,Home|Kitchen|Appliances,₹3277,₹7529,65%,3.1,"41,487",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000086,Sample Product 86,Computers|Laptops|Gaming,₹2228,₹6599,16%,4.8,"14,860",Great quality product with nice features.,"It is okay, nothing special."
B000000087,Sample Product 87,Electronics|TV|Smart,₹2280,₹9999,10%,3.8,"27,237",Great quality product with nice features.,"Terrible, broke after one day."
B000000088,Sample Product 88,Clothing|Men|Shirts,₹4992,₹3692,31%,3.6,"31,900",Great quality product with nice features.,"Terrible, broke after one day."
B000000089,Sample Product 89,Computers|Laptops|Gaming,₹237,₹3678,12%,2.8,"32,084",Great quality product with nice features.,"Terrible, broke after one day."
B000000090,Sample Product 90,Clothing|Men|Shirts,₹3572,₹6552,69%,3.1,"2,173",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000091,Sample Product 91,Clothing|Men|Shirts,₹2932,₹3234,61%,4.7,"45,927",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000092,Sample Product 92,Computers|Laptops|Gaming,₹3679,₹6616,44%,4.0,"16,664",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000093,Sample Product 93,Computers|Laptops|Gaming,₹3131,₹4068,18%,4.4,"27,541",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000094,Sample Product 94,Computers|Laptops|Gaming,₹4264,₹2703,39%,3.4,"19,054",Great quality product with nice features.,"Terrible, broke after one day."
B000000095,Sample Product 95,Computers|Laptops|Gaming,₹2693,₹1890,52%,3.9,"11,086",Great quality product with nice features.,"It is okay, nothing special."
B000000096,Sample Product 96,Computers|Laptops|Gaming,₹4400,₹2242,60%,2.7,"30,565",Great quality product with nice features.,Do not buy this waste of money.
B000000097,Sample Product 97,Clothing|Men|Shirts,₹3918,₹2425,53%,4.1,"24,210",Great quality product with nice features.,Do not buy this waste of money.
B000000098,Sample Product 98,Computers|Laptops|Gaming,₹4238,₹1119,17%,3.3,"3,982",Great quality product with nice features.,"Terrible, broke after one day."
B000000099,Sample Product 99,Electronics|TV|Smart,₹3923,₹1774,65%,3.3,"21,154",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000100,Sample Product 100,Home|Kitchen|Appliances,₹4142,₹1456,53%,3.9,"5,248",Great quality product with nice features.,"It is okay, nothing special."
B000000101,Sample Product 101,Computers|Laptops|Gaming,₹2006,₹2439,50%,4.8,"10,554",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000102,Sample Product 102,Computers|Laptops|Gaming,₹860,₹4453,66%,2.2,"20,812",Great quality product with nice features.,"Terrible, broke after one day."
B000000103,Sample Product 103,Clothing|Men|Shirts,₹3545,₹1468,12%,4.5,"29,846",Great quality product with nice features.,"It is okay, nothing special."
B000000104,Sample Product 104,Computers|Laptops|Gaming,₹999,₹9735,47%,2.9,"6,136",Great quality product with nice features.,"It is okay, nothing special."
B000000105,Sample Product 105,Computers|Laptops|Gaming,₹4555,₹781,24%,3.3,"5,574",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000106,Sample Product 106,Computers|Laptops|Gaming,₹3047,₹6762,43%,2.1,"13,732",Great quality product with nice features.,"It is okay, nothing special."
B000000107,Sample Product 107,Clothing|Men|Shirts,₹1819,₹1558,53%,2.9,"7,190",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000108,Sample Product 108,Computers|Laptops|Gaming,₹380,₹4793,68%,3.5,"14,542",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000109,Sample Product 109,Home|Kitchen|Appliances,₹3366,₹5678,66%,2.2,"43,647",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000110,Sample Product 110,Clothing|Men|Shirts,₹1987,₹7480,58%,3.5,"11,088",Great quality product with nice features.,"It is okay, nothing special."
B000000111,Sample Product 111,Home|Kitchen|Appliances,₹3366,₹9700,13%,4.8,"46,436",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000112,Sample Product 112,Clothing|Men|Shirts,₹766,₹1729,41%,2.3,"2,777",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000113,Sample Product 113,Computers|Laptops|Gaming,₹4288,₹9727,53%,4.3,"42,080",Great quality product with nice features.,"It is okay, nothing special."
B000000114,Sample Product 114,Home|Kitchen|Appliances,₹771,₹5085,45%,3.2,"27,565",Great quality product with nice features.,Do not buy this waste of money.
B000000115,Sample Product 115,Clothing|Men|Shirts,₹2069,₹8967,21%,4.0,"28,836",Great quality product with nice features.,"It is okay, nothing special."
B000000116,Sample Product 116,Electronics|TV|Smart,₹4256,₹3240,25%,2.8,"7,698",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000117,Sample Product 117,Computers|Laptops|Gaming,₹3222,₹2789,55%,2.5,"14,630",Great quality product with nice features.,Do not buy this waste of money.
B000000118,Sample Product 118,Clothing|Men|Shirts,₹4799,₹1739,63%,2.5,"8,387",Great quality product with nice features.,"It is okay, nothing special."
B000000119,Sample Product 119,Electronics|TV|Smart,₹4877,₹5870,43%,2.2,"17,047",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000120,Sample Product 120,Clothing|Men|Shirts,₹4000,₹625,59%,2.6,"8,045",Great quality product with nice features.,"Terrible, broke after one day."
B000000121,Sample Product 121,Electronics|TV|Smart,₹623,₹7973,45%,4.0,"9,616",Great quality product with nice features.,"Terrible, broke after one day."
B000000122,Sample Product 122,Computers|Laptops|Gaming,₹2493,₹9900,43%,4.6,"47,803",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000123,Sample Product 123,Home|Kitchen|Appliances,₹3217,₹5842,17%,4.4,"5,061",Great quality product with nice features.,"Terrible, broke after one day."
B000000124,Sample Product 124,Electronics|TV|Smart,₹2693,₹7851,68%,4.1,"10,901",Great quality product with nice features.,"Terrible, broke after one day."
B000000125,Sample Product 125,Clothing|Men|Shirts,₹2068,₹7138,15%,2.3,"5,582",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000126,Sample Product 126,Computers|Laptops|Gaming,₹1853,₹7070,23%,2.9,"34,783",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000127,Sample Product 127,Electronics|TV|Smart,₹2396,₹3749,15%,2.9,"20,174",Great quality product with nice features.,"It is okay, nothing special."
B000000128,Sample Product 128,Clothing|Men|Shirts,₹2361,₹9610,50%,2.7,"12,998",Great quality product with nice features.,"It is okay, nothing special."
B000000129,Sample Product 129,Clothing|Men|Shirts,₹2386,₹8095,49%,3.5,"43,404",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000130,Sample Product 130,Clothing|Men|Shirts,₹4302,₹6794,5%,3.6,"46,417",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000131,Sample Product 131,Electronics|TV|Smart,₹2978,₹7027,44%,3.1,"7,149",Great quality product with nice features.,"Terrible, broke after one day."
B000000132,Sample Product 132,Electronics|TV|Smart,₹4243,₹6257,23%,3.1,"18,749",Great quality product with nice features.,"It is okay, nothing special."
B000000133,Sample Product 133,Electronics|TV|Smart,₹3744,₹2469,76%,4.5,"14,023",Great quality product with nice features.,"Terrible, broke after one day."
B000000134,Sample Product 134,Home|Kitchen|Appliances,₹4532,₹1391,76%,4.4,"20,014",Great quality product with nice features.,Do not buy this waste of money.
B000000135,Sample Product 135,Electronics|TV|Smart,₹2155,₹4970,65%,2.9,"38,688",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000136,Sample Product 136,Electronics|TV|Smart,₹4820,₹7675,16%,4.7,"15,887",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000137,Sample Product 137,Electronics|TV|Smart,₹1376,₹8820,65%,4.9,"25,257",Great quality product with nice features.,Do not buy this waste of money.
B000000138,Sample Product 138,Home|Kitchen|Appliances,₹2866,₹9706,37%,3.0,"30,006",Great quality product with nice features.,Do not buy this waste of money.
B000000139,Sample Product 139,Electronics|TV|Smart,₹402,₹7312,49%,3.1,"6,639",Great quality product with nice features.,Do not buy this waste of money.
B000000140,Sample Product 140,Clothing|Men|Shirts,₹738,₹8019,73%,3.5,"37,420",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000141,Sample Product 141,Electronics|TV|Smart,₹155,₹5112,12%,4.8,"33,378",Great quality product with nice features.,"It is okay, nothing special."
B000000142,Sample Product 142,Clothing|Men|Shirts,₹4921,₹1698,29%,4.6,"40,709",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000143,Sample Product 143,Clothing|Men|Shirts,₹625,₹5738,50%,2.3,"43,117",Great quality product with nice features.,"It is okay, nothing special."
B000000144,Sample Product 144,Clothing|Men|Shirts,₹4669,₹6589,34%,3.2,"36,635",Great quality product with nice features.,Do not buy this waste of money.
B000000145,Sample Product 145,Home|Kitchen|Appliances,₹4223,₹6757,51%,3.7,"16,756",Great quality product with nice features.,Do not buy this waste of money.
B000000146,Sample Product 146,Home|Kitchen|Appliances,₹2225,₹8205,53%,3.5,"23,383",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000147,Sample Product 147,Home|Kitchen|Appliances,₹3387,₹4219,51%,2.6,"49,768",Great quality product with nice features.,"It is okay, nothing special."
B000000148,Sample Product 148,Electronics|TV|Smart,₹464,₹802,22%,4.6,"22,395",Great quality product with nice features.,Do not buy this waste of money.
B000000149,Sample Product 149,Clothing|Men|Shirts,₹4721,₹1486,70%,4.0,"2,254",Great quality product with nice features.,"Terrible, broke after one day."
B000000150,Sample Product 150,Home|Kitchen|Appliances,₹1746,₹4940,72%,4.5,"37,711",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000151,Sample Product 151,Home|Kitchen|Appliances,₹1018,₹5409,37%,4.6,"45,099",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000152,Sample Product 152,Electronics|TV|Smart,₹2897,₹3572,40%,4.2,865,Great quality product with nice features.,Really good for the price. Fast shipping.
B000000153,Sample Product 153,Home|Kitchen|Appliances,₹1631,₹3624,23%,3.3,"34,037",Great quality product with nice features.,"Terrible, broke after one day."
B000000154,Sample Product 154,Electronics|TV|Smart,₹3445,₹8625,32%,3.8,"40,223",Great quality product with nice features.,"It is okay, nothing special."
B000000155,Sample Product 155,Computers|Laptops|Gaming,₹2006,₹3791,44%,2.5,"13,667",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000156,Sample Product 156,Home|Kitchen|Appliances,₹3186,₹4533,19%,4.0,"20,956",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000157,Sample Product 157,Computers|Laptops|Gaming,₹4680,₹5605,45%,2.5,"45,139",Great quality product with nice features.,"It is okay, nothing special."
B000000158,Sample Product 158,Electronics|TV|Smart,₹2175,₹1203,43%,4.1,"37,998",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000159,Sample Product 159,Clothing|Men|Shirts,₹813,₹8633,6%,2.7,"16,310",Great quality product with nice features.,Do not buy this waste of money.
B000000160,Sample Product 160,Home|Kitchen|Appliances,₹1162,₹1074,67%,2.4,"4,055",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000161,Sample Product 161,Electronics|TV|Smart,₹2076,₹6204,33%,2.5,936,Great quality product with nice features.,"Terrible, broke after one day."
B000000162,Sample Product 162,Clothing|Men|Shirts,₹1396,₹8348,78%,2.0,"44,941",Great quality product with nice features.,Do not buy this waste of money.
B000000163,Sample Product 163,Clothing|Men|Shirts,₹225,₹5708,70%,4.2,"22,779",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000164,Sample Product 164,Computers|Laptops|Gaming,₹4732,₹7424,55%,4.2,"43,299",Great quality product with nice features.,"It is okay, nothing special."
B000000165,Sample Product 165,Electronics|TV|Smart,₹3696,₹4328,79%,3.5,"48,329",Great quality product with nice features.,"Terrible, broke after one day."
B000000166,Sample Product 166,Clothing|Men|Shirts,₹3383,₹3730,14%,2.5,"48,925",Great quality product with nice features.,"Terrible, broke after one day."
B000000167,Sample Product 167,Home|Kitchen|Appliances,₹1703,₹988,18%,2.3,"16,710",Great quality product with nice features.,"Terrible, broke after one day."
B000000168,Sample Product 168,Home|Kitchen|Appliances,₹166,₹7614,55%,2.1,"9,727",Great quality product with nice features.,Do not buy this waste of money.
B000000169,Sample Product 169,Computers|Laptops|Gaming,₹332,₹3673,77%,2.5,"40,543",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000170,Sample Product 170,Clothing|Men|Shirts,₹2256,₹2167,43%,4.7,"20,246",Great quality product with nice features.,Do not buy this waste of money.
B000000171,Sample Product 171,Electronics|TV|Smart,₹1269,₹4614,32%,2.7,"34,754",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000172,Sample Product 172,Home|Kitchen|Appliances,₹2258,₹4053,7%,3.1,"14,253",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000173,Sample Product 173,Clothing|Men|Shirts,₹4306,₹8261,74%,2.3,"21,317",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000174,Sample Product 174,Clothing|Men|Shirts,₹1593,₹1500,31%,2.7,"37,372",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000175,Sample Product 175,Computers|Laptops|Gaming,₹4818,₹9542,6%,3.6,"19,163",Great quality product with nice features.,Do not buy this waste of money.
B000000176,Sample Product 176,Home|Kitchen|Appliances,₹4107,₹1888,42%,3.8,"15,961",Great quality product with nice features.,"Terrible, broke after one day."
B000000177,Sample Product 177,Home|Kitchen|Appliances,₹2572,₹5950,7%,2.7,"30,792",Great quality product with nice features.,"It is okay, nothing special."
B000000178,Sample Product 178,Electronics|TV|Smart,₹2760,₹4212,20%,2.2,"42,231",Great quality product with nice features.,"Terrible, broke after one day."
B000000179,Sample Product 179,Home|Kitchen|Appliances,₹2839,₹1867,44%,3.2,"25,217",Great quality product with nice features.,Do not buy this waste of money.
B000000180,Sample Product 180,Electronics|TV|Smart,₹1861,₹8689,6%,2.7,"32,468",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000181,Sample Product 181,Home|Kitchen|Appliances,₹3614,₹9513,45%,2.7,"46,935",Great quality product with nice features.,"Terrible, broke after one day."
B000000182,Sample Product 182,Computers|Laptops|Gaming,₹2075,₹954,16%,4.9,"7,755",Great quality product with nice features.,Do not buy this waste of money.
B000000183,Sample Product 183,Home|Kitchen|Appliances,₹2462,₹3272,39%,3.8,"47,015",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000184,Sample Product 184,Electronics|TV|Smart,₹976,₹4226,69%,3.7,"4,079",Great quality product with nice features.,"It is okay, nothing special."
B000000185,Sample Product 185,Electronics|TV|Smart,₹3912,₹7732,59%,3.2,"12,854",Great quality product with nice features.,"Terrible, broke after one day."
B000000186,Sample Product 186,Computers|Laptops|Gaming,₹3548,₹5306,49%,3.3,"4,043",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000187,Sample Product 187,Home|Kitchen|Appliances,₹1412,₹2690,66%,3.6,"49,053",Great quality product with nice features.,Really good for the price. Fast shipping.
B000000188,Sample Product 188,Home|Kitchen|Appliances,₹1560,₹9608,53%,4.1,"14,390",Great quality product with nice features.,Do not buy this waste of money.
B000000189,Sample Product 189,Computers|Laptops|Gaming,₹2809,₹3375,29%,4.1,"30,426",Great quality product with nice features.,"It is okay, nothing special."
B000000190,Sample Product 190,Home|Kitchen|Appliances,₹2424,₹6092,27%,2.5,"2,576",Great quality product with nice features.,"Amazing product, totally worth it!"
B000000191,Sample Product 191,Home|Kitchen|Appliances,₹1833,₹1940,28%,3.5,"39,523",Great quality product with nice features.,Do not buy this waste of money.
